Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC01,100,Non-Secure,100,1,3.023,3.179,3.682,4.346,27049,2.7049,321,0.008426479750778816
TC01,100,Secure,100,1,6.156,7.283,8.973,10.981,30420,3.042,538,0.005654275092936803
TC01,100,Non-Secure,100,2,2.91,3.035,3.491,4.047,30084,3.0084,308,0.009767532467532468
TC01,100,Secure,100,2,6.136,7.246,9.052,11.132,30396,3.0396,525,0.005789714285714286
TC01,100,Non-Secure,100,3,2.939,3.062,3.547,4.224,30085,3.0084999999999997,307,0.009799674267100976
TC01,100,Secure,100,3,6.166,7.259,9.003,11.1,30387,3.0387,545,0.005575596330275229
TC01,100,Non-Secure,100,4,2.856,2.991,3.483,4.119,30085,3.0084999999999997,307,0.009799674267100976
TC01,100,Secure,100,4,6.264,7.378,9.234,11.289,30449,3.0448999999999997,532,0.005723496240601503
TC01,100,Non-Secure,100,5,2.787,2.885,3.42,4.539,30086,3.0086,308,0.009768181818181818
TC01,100,Secure,100,5,6.258,7.366,9.095,11.12,30431,3.0431,548,0.0055531021897810215
TC01,100,Non-Secure,100,6,2.749,2.829,3.323,3.843,30085,3.0084999999999997,307,0.009799674267100976
TC01,100,Secure,100,6,6.137,7.245,9.081,11.141,30404,3.0404,551,0.005517967332123412
TC01,100,Non-Secure,100,7,2.794,2.884,3.399,4.141,30085,3.0084999999999997,308,0.009767857142857142
TC01,100,Secure,100,7,6.134,7.23,8.947,10.976,30425,3.0425,531,0.0057297551789077215
TC01,100,Non-Secure,100,8,2.853,2.988,3.561,4.559,30084,3.0084,307,0.009799348534201955
TC01,100,Secure,100,8,6.138,7.228,8.95,10.942,30424,3.0423999999999998,537,0.005665549348230912
TC01,100,Non-Secure,100,9,2.875,2.983,3.448,4.139,30084,3.0084,307,0.009799348534201955
TC01,100,Secure,100,9,6.274,7.376,9.106,11.014,30402,3.0402,534,0.005693258426966292
TC01,100,Non-Secure,100,10,2.838,2.941,3.464,5.068,30089,3.0088999999999997,308,0.009769155844155842
TC01,100,Secure,100,10,6.274,7.373,9.092,10.986,30359,3.0359,542,0.005601291512915129
TC02,100,Non-Secure,1024,1,2.867,3.144,3.692,5.091,30080,30.80192,307,0.10033198697068403
TC02,100,Secure,1024,1,6.336,7.531,9.413,11.946,30299,31.026176,534,0.0581014531835206
TC02,100,Non-Secure,1024,2,2.979,3.21,3.609,4.278,30079,30.800895999999998,307,0.10032865146579804
TC02,100,Secure,1024,2,6.286,7.397,9.164,11.136,30330,31.05792,548,0.05667503649635036
TC02,100,Non-Secure,1024,3,2.89,3.163,3.691,5.636,30081,30.802944,307,0.10033532247557003
TC02,100,Secure,1024,3,6.406,7.539,9.421,11.296,30318,31.045631999999998,544,0.057069176470588234
TC02,100,Non-Secure,1024,4,2.882,3.186,3.662,4.616,30078,30.799871999999997,308,0.0999995844155844
TC02,100,Secure,1024,4,6.408,7.547,9.533,11.637,30299,31.026176,541,0.057349678373382625
TC02,100,Non-Secure,1024,5,2.832,3.133,3.599,4.82,30080,30.80192,307,0.10033198697068403
TC02,100,Secure,1024,5,6.305,7.521,9.261,11.108,30298,31.025152,520,0.05966375384615384
TC02,100,Non-Secure,1024,6,2.894,3.178,3.603,4.494,30080,30.80192,308,0.10000623376623376
TC02,100,Secure,1024,6,6.284,7.417,9.23,11.14,30316,31.043584,537,0.05780928119180633
TC02,100,Non-Secure,1024,7,2.947,3.223,3.612,4.25,30078,30.799871999999997,307,0.10032531596091204
TC02,100,Secure,1024,7,6.277,7.383,9.232,11.15,30318,31.045631999999998,544,0.057069176470588234
TC02,100,Non-Secure,1024,8,2.972,3.233,3.695,5.111,30079,30.800895999999998,307,0.10032865146579804
TC02,100,Secure,1024,8,6.34,7.513,9.387,11.297,30224,30.949375999999997,538,0.057526721189591075
TC02,100,Non-Secure,1024,9,2.946,3.205,3.616,4.327,30081,30.802944,308,0.10000955844155844
TC02,100,Secure,1024,9,6.432,7.674,9.827,16.784,30311,31.038463999999998,547,0.056743078610603286
TC02,100,Non-Secure,1024,10,2.881,3.136,3.542,4.504,30080,30.80192,307,0.10033198697068403
TC02,100,Secure,1024,10,6.4,7.533,9.265,11.166,30321,31.048703999999997,547,0.056761798903107855
TC03,100,Non-Secure,10240,1,3.315,3.495,3.867,4.881,30062,307.83488,307,1.0027194788273615
TC03,100,Secure,10240,1,6.605,7.831,9.868,13.03,30932,316.74368,521,0.607953320537428
TC03,100,Non-Secure,10240,2,3.37,3.559,4.167,7.223,30065,307.8656,307,1.0028195439739414
TC03,100,Secure,10240,2,6.596,7.779,9.721,12.507,30900,316.416,548,0.5774014598540146
TC03,100,Non-Secure,10240,3,3.386,3.588,4.266,16.352,30062,307.83488,307,1.0027194788273615
TC03,100,Secure,10240,3,6.526,7.61,9.409,11.72,30852,315.92447999999996,544,0.5807435294117647
TC03,100,Non-Secure,10240,4,3.391,3.579,4.1,6.042,30067,307.88608,308,0.9996301298701299
TC03,100,Secure,10240,4,6.536,7.632,9.555,12.385,30840,315.8016,520,0.6073107692307692
TC03,100,Non-Secure,10240,5,3.34,3.521,3.971,5.158,30059,307.80415999999997,307,1.0026194136807816
TC03,100,Secure,10240,5,6.575,7.686,9.585,12.009,30915,316.5696,523,0.605295602294455
TC03,100,Non-Secure,10240,6,3.288,3.46,3.853,4.861,30065,307.8656,307,1.0028195439739414
TC03,100,Secure,10240,6,6.557,7.641,9.515,12.046,30860,316.0064,534,0.5917722846441947
TC03,100,Non-Secure,10240,7,3.299,3.468,3.818,4.7,30072,307.93728,307,1.003053029315961
TC03,100,Secure,10240,7,6.552,7.622,9.42,11.596,30871,316.11904,519,0.6090925626204239
TC03,100,Non-Secure,10240,8,3.332,3.534,4.026,5.27,30066,307.87584,307,1.0028528990228012
TC03,100,Secure,10240,8,6.513,7.529,9.382,12.168,30840,315.8016,519,0.6084809248554913
TC03,100,Non-Secure,10240,9,3.189,3.408,3.767,4.669,30070,307.91679999999997,307,1.0029863192182409
TC03,100,Secure,10240,9,6.514,7.523,9.332,11.232,30872,316.12928,519,0.6091122928709056
TC03,100,Non-Secure,10240,10,3.269,3.463,3.946,6.035,30065,307.8656,307,1.0028195439739414
TC03,100,Secure,10240,10,6.437,7.524,9.369,11.347,30876,316.17024,520,0.6080196923076923
TC04,100,Non-Secure,102400,1,3.89,4.093,5.054,10.795,30064,3078.5535999999997,307,10.027861889250813
TC04,100,Secure,102400,1,6.893,8.096,10.496,16.048,30346,3107.4303999999997,515,6.033845436893204
TC04,100,Non-Secure,102400,2,3.822,4.026,4.873,6.738,30061,3078.2464,307,10.026861237785017
TC04,100,Secure,102400,2,7.009,8.149,10.409,12.923,30382,3111.1168,514,6.052756420233463
TC04,100,Non-Secure,102400,3,3.781,3.979,4.698,6.783,30065,3078.656,307,10.028195439739413
TC04,100,Secure,102400,3,6.969,8.13,10.297,12.852,30271,3099.7504,513,6.042398440545809
TC04,100,Non-Secure,102400,4,3.973,4.228,5.315,9.131,30062,3078.3487999999998,307,10.027194788273615
TC04,100,Secure,102400,4,7.045,8.233,10.662,13.438,30235,3096.064,513,6.035212475633528
TC04,100,Non-Secure,102400,5,3.761,3.943,4.663,6.501,30061,3078.2464,307,10.026861237785017
TC04,100,Secure,102400,5,7.035,8.163,10.469,12.622,30331,3105.8943999999997,543,5.719879189686924
TC04,100,Non-Secure,102400,6,3.726,3.914,4.496,5.999,30059,3078.0416,307,10.026194136807817
TC04,100,Secure,102400,6,6.853,8.019,10.328,13.348,30411,3114.0863999999997,516,6.035051162790697
TC04,100,Non-Secure,102400,7,3.885,4.067,4.627,6.446,30060,3078.144,307,10.026527687296417
TC04,100,Secure,102400,7,6.838,7.998,9.964,12.329,30339,3106.7136,512,6.0678
TC04,100,Non-Secure,102400,8,3.914,4.104,4.785,6.781,30060,3078.144,307,10.026527687296417
TC04,100,Secure,102400,8,6.706,7.831,9.647,11.532,30262,3098.8288,512,6.0524
TC04,100,Non-Secure,102400,9,3.915,4.095,4.677,6.011,30062,3078.3487999999998,307,10.027194788273615
TC04,100,Secure,102400,9,6.877,8.045,10.189,12.977,30330,3105.792,528,5.882181818181818
TC04,100,Non-Secure,102400,10,3.79,3.94,4.479,6.217,30062,3078.3487999999998,308,9.99463896103896
TC04,100,Secure,102400,10,6.76,7.954,9.731,11.768,30277,3100.3648,526,5.894229657794677
